id,project,status,target_completion_date,highway_transit_line,estimated_total_budget,latitude,longitude,category,supporting_ministry,community,description,result,area,region,address,postal_code,municipal_funding,provincial_funding,federal_funding,other_funding,website
1198,Save the Evidence Phase 3: Exterior Restoration and Public Accessibility,Planning,2024-01-01,,0,43.127623,-80.240674,Communities,Infrastructure,Six Nations of the Grand River Territory,"Restore the Mohawk Institute BuildingImprove the Mohawk Institute Building’s public accessibility, including installation of barrier-free main entrance & elevatorEnhance public accessibility with a parking lot and accessible entrance to the Museum Building (not funded by Cultural Spaces)Opening this Site of Consciousness to the public to ensure the legacy of residential schools in Canada is shared with our national and global communities, told through the lens of the SurvivorsExterior restoration components include masonry and windowsInterior restoration including finishingsSecurity servicesAccessibility improvements include a barrier free entrance that will be the main entrance to the site, as well as an elevator. The site needs accessible components that are not part of the Cultural Spaces Fund. These include construction of a parking lot for easier public access to the site, and an accessible main entrance and lobby for the Museum Building (site's reception)The Mohawk Institute Building, and by extension the Woodland Cultural Centre, is an important national site for public education and healing. We welcome Indigenous and non-Indigenous audiences to come together and share in the knowledge of the legacy of residential schools, and the strength of Indigenous Cultures in Canada. We host groups from educational institutions (all levels) to provide enriched Indigenous-centred programming. Once open, we expect to see double our current annual visitors.","The work will allow the Woodland Cultural Centre to restore the Mohawk Institute Residential School site, allowing it to open as a national historical cultural site for public education and healing.",Brant,Southwest,184 MOHAWK ST,N3S2X2,Yes,Yes,Yes,Yes,https://www.news.ontario.ca/en/release/1000556/canada-and-ontario-invest-over-94-million-in-the-woodland-cultural-centre
1199,Foster Avenue Reconstruction and Watermain Improvements,Complete,2017-03-01,,476762,,,Communities,Infrastructure,Smiths Falls,Watermain replacement and road reconstruction,"Upgrades to the watermains, sanitary and storm sewers included",Lanark,East,Foster Ave,K7A 1K2,Yes,Yes,Yes,,
1200,Separation of Combined Sewer System,Complete,2018-10-01,,633423,44.896962,-76.007221,Communities,Infrastructure,Smiths Falls,Install a new storm sewer as part of the reconstruction of Lorne Street.,The separation of existing combined sanitary sewers will reduce effluents flowing into the Rideau River.,Lanark,East,,,Yes,Yes,Yes,,
1201,Relining of Sewer System,Complete,2018-07-01,,166199,44.896962,-76.007221,Communities,Infrastructure,Smiths Falls,Construct approximately 430 m of new storm sewer as part of the Lorne Street reconstruction.,"Improved environmental outcomes through the elimination of sources of infiltration and inflow from joints, cracks and former drainage connections.",Lanark,East,,,Yes,Yes,Yes,,
1202,Replacement / Optimization of Ultraviolet Treatment System at Waste Water Treatment Plant,Complete,2018-12-01,,366975,44.892291,-76.000261,Communities,Infrastructure,Smiths Falls,Replace the ultraviolet disinfection system with a newer model.,"Reduced energy demands, reduced waste  and efficiencies in plant operations.",Lanark,East,,,Yes,Yes,Yes,,
1203,Replacement of Spent Granular Activated Carbon Filter Media at Water Treatment Plant,Complete,2018-03-01,,216550,44.897439,-76.026548,Communities,Infrastructure,Smiths Falls,Replace the water filters at the water treatment plant.,"Improved filter performance, increased organics removals and improved levels of Trihalomethanes (THM) in treated drinking water.",Lanark,East,,,Yes,Yes,Yes,,
1204,Beckwith Street North Sewer Separation,Complete,2019-12-01,,933850,44.898516,-76.020999,Communities,Infrastructure,Smiths Falls,"Design and installation of separated sanitary and storm sewers along Beckwith Street North, from Chambers Street to Russell Street.",Minimized risk of contamination,Lanark,East,,K7A 4T6,Yes,Yes,,,
1205,Replacement of sanitary sewer,Complete,2017-10-01,,204159,49.280441,-81.630942,Communities,Infrastructure,Smooth Rock Falls,"Replace approximately 150 m. of sanitary sewer, which runs diagonally from approximately 40 m. south of the intersection of Fourth Street and Hollywood Ave., north easterly to the  main trunk sewer at the intersection of Sixth Street and Hollywood Avenue.",This section of the system services  the area  east of Fourth Street in Smooth Rock Falls.,Cochrane,Northeast,Hollywood Avenue and Fifth Street,,Yes,Yes,Yes,Yes,
1206,Watermain Construction on Ross Road,Complete,2018-11-01,,1809482,49.282428,-81.622322,Communities,Infrastructure,Smooth Rock Falls,Replacement of watermain on Ross Road.,Safer drinking water,Cochrane,Northeast,,P0L 2B0,Yes,Yes,,,
1207,Drilled Wells within Whitney,Complete,2020-08-01,,52500,45.486076,-78.24064,Communities,Infrastructure,South Algonquin,"Drill a well to provide adequate safe water at  the Recreation Centre, the fire hall and Municipal Offices and Seniors Centre.",,Nipissing,Northeast,7 Third Avenue,K0J 2M,Yes,Yes,Yes,,
1208,Drainage Improvement and Storm Sewer  Replacement,Complete,2017-12-01,,365706,44.042402,-81.11898,Communities,Infrastructure,South Bruce,Install approximately 340m of new storm sewers.,Improved drainage in the area.,Bruce,Southwest,,,Yes,Yes,Yes,,
1209,Operational Improvements of Mildmay Water Tower,Complete,2018-12-01,,75000,44.042402,-81.11898,Communities,Infrastructure,South Bruce,Clean and repaint the Mildmay water tower to ensure the long term operations of the water tower are not affected.,Ensure safe reliable drinking water.,Bruce,Southwest,,,Yes,Yes,Yes,,
1210,Upgrades for Sewage Pump Station #1,Complete,2019-03-01,,127500,44.741617,-81.133858,Communities,Infrastructure,South Bruce Peninsula,Conduct an environmental assessment  to confirm the preferred alternative in anticipation of construction of the works.,,Bruce,Southwest,,,Yes,Yes,Yes,,
1211,Gravity Sewer Inflow and Infiltration Investigation in Wiarton,Complete,2019-03-01,,118035,44.741803,-81.141133,Communities,Infrastructure,South Bruce Peninsula,Conduct a study to investigate the sewer inflows and infiltrations and begin the engineering and planning work for replacement/rehabilitation work in key areas.,,Bruce,Southwest,,,Yes,Yes,Yes,,
1212,Wastewater treatment plant generator,Complete,2019-06-01,,30000,44.733614,-81.132688,Communities,Infrastructure,South Bruce Peninsula,Install a new standby generator at the Wiarton wastewater treatment plant,,Bruce,Southwest,,,Yes,Yes,Yes,,
1213,Hydraulic Flow Assessment for the Villages of Morrisburg and Iroquois,Complete,2019-06-01,,37500,44.976785,-75.208834,Communities,Infrastructure,South Dundas,Conduct a hydraulic flow assessment in support of the construction of new water towers.,,"Stormont, Dundas and Glengarry",East,,K0C 1X0,Yes,Yes,Yes,,
1214,Geotechnical Study to Replace the Water Towers in Morrisburg and Iroquois,Complete,2019-11-01,,37500,44.976785,-75.208834,Communities,Infrastructure,South Dundas,Geotechnical study in support of construction of new water tower(s) in the villages of Morrisburg and Iroquois.,,"Stormont, Dundas and Glengarry",East,,,Yes,Yes,Yes,,
1215,Water Tower Replacement,Complete,2021-10-01,,341457,44.945353,-75.187027,Communities,Infrastructure,South Dundas,Replace both water towers in the villages of Morrisburg and Iroquois.,,"Stormont, Dundas and Glengarry",East,"1 Augusta St, Morribsurg",K0C 1X0,Yes,Yes,Yes,,
1216,Lagoon sludge study,Complete,2019-09-01,,18750,44.976732,-75.255894,Communities,Infrastructure,South Dundas,Analyze the Williamsburg lagoons to accurately determine the quantity of sludge contained within the lagoons,,"Stormont, Dundas and Glengarry",East,,,Yes,Yes,Yes,,
1217,Cathode replacement,Complete,2019-12-01,,56250,44.899179,-75.184304,Communities,Infrastructure,South Dundas,Conduct a study to determine the efficacy of a cathodic protection plan for the village of Morrisburg and the Morrisburg/Iroquois transmission main,Reduced corrosion of the existing ductile iron water mains and the associated water main breaks,"Stormont, Dundas and Glengarry",East,,,Yes,Yes,Yes,,
1218,Intake pumps update,Complete,2020-12-01,,45000,44.892059,-75.186729,Communities,Infrastructure,South Dundas,Upgrade 4 pumping systems to a more efficient product,Improved energy savings,"Stormont, Dundas and Glengarry",East,,,Yes,Yes,Yes,,
1219,Ontario Street reconstruction,Complete,2020-10-01,,270000,44.898039,-75.183079,Communities,Infrastructure,South Dundas,Reconstruct approximately 510 meters of Ontario St. between 5th Street and Canada Way and replace the watermain and sanitary sewer,,"Stormont, Dundas and Glengarry",East,,,Yes,Yes,Yes,,
1220,Kennedy Redwood Estates Water Treatment Plant (WTP) Rehabilitation,Complete,2017-04-01,,160218,45.172361,-74.417561,Communities,Infrastructure,South Glengarry,Rehabilitate the water treatment process and improve the building's HVAC systems.,Eliminate condensation issues.,"Stormont, Dundas and Glengarry",East,,,Yes,Yes,Yes,,
1221,Glen Walter and Area Master Water and Wastewater Servicing Plan Update,Complete,2020-02-01,,93492,45.033556,-74.633375,Communities,Infrastructure,South Glengarry,Update the 2008 servicing plan.,,"Stormont, Dundas and Glengarry",East,,,Yes,Yes,Yes,,
1222,Sanitary Sewage Pumping Station Upgrades,Complete,2020-12-01,,984429,43.356004,-81.486229,Communities,Infrastructure,South Huron,Replace an existing obsolete sanitary sewage pumping station with a new upgraded and expanded facility.,"New energy efficient, state of the art equipment to service approximately 5,000 residents.",Huron,Southwest,"28 William Street, Exeter",,Yes,Yes,Yes,,
1223,Rehabilitation of South River Watermains,Complete,2023-08-01,,0,45.83982,-79.384649,Communities,Infrastructure,South River,"The Project is for the rehabilitation of sections of watermains in South River. The work includes: the replacement of approximately two (2) kilometres of 4 and 6-inch cast iron and  watermains with 8-inch PVC piping and the rehabilitation of the road subgrade and surface accessed to complete the underground work; insulate and cover pipes; reinstall the road bed, asphalt, sidewalks, fire hydrants, storm sewers, curbs and gutters as required.",,Parry Sound,Northeast,63 Marie Street,P0A1X0,Yes,Yes,Yes,,https://www.news.ontario.ca/en/release/1000459/canada-and-ontario-invest-over-29-million-in-19-green-infrastructure-projects
1224,Ingleside Water Pollution Control Plant,Complete,2020-03-01,,396330,45.029782,-74.890538,Communities,Infrastructure,South Stormont,"Complete a Schedule """"C"""" environmental assessment for the rehabilitation and expansion of the Ingleside water pollution control plant and provide preliminary design for the preferred solution.",,"Stormont, Dundas and Glengarry",East,,,Yes,Yes,Yes,,
1225,Installation of Water Meters,Complete,2020-02-01,,56250,45.029782,-74.890538,Communities,Infrastructure,South Stormont,Install positive displacement water meters on existing water service connections in the Hamlet of Newington.,,"Stormont, Dundas and Glengarry",East,,,Yes,Yes,Yes,,
1226,New Construction of Dundalk Drinking Water Production Well,Complete,2019-10-01,,75000,44.163893,-80.392513,Communities,Infrastructure,Southgate,Construct a new municipal drinking water production well and pumping station to address the potable water deficit.,,Grey,Southwest,250 Hagen St East,,Yes,Yes,Yes,,
1227,Wardsville Wastewater Treatment Plant and System Improvements,Complete,2019-12-01,,160407,42.650404,-81.75873,Communities,Infrastructure,Southwest Middlesex,"Investigate and rehabilitate the  Queen St and Talbot St sewer line, upgrade pumps, rebuild sand filters, chemical feed piping system,  upgrade the blower and ventilation, etc.",Increased system resiliency and reduced risk of negative impacts to the river.,Middlesex,Southwest,,,Yes,Yes,Yes,,
1228,Replacement of Watermains along Main Street,Complete,2019-12-01,,22704,42.748968,-81.712352,Communities,Infrastructure,Southwest Middlesex,Complete planning and engineering designs for the replacement of cast iron watermain on Main Street,,Middlesex,Southwest,,,Yes,Yes,Yes,,
1229,Melbourne Water Tower Exterior and Interior Upgrades,Complete,2019-12-01,,222874,42.815786,-81.553615,Communities,Infrastructure,Southwest Middlesex,Exterior paint over-coating and interior lining removal and replacement to maintain the water towers structural integrity and to increase the life cycle.,,Middlesex,Southwest,,,Yes,Yes,Yes,,
1230,Southwest Middlesex Graham Road Pumping Station/Reservoir Upgrade,Complete,2019-12-01,,7766,42.608798,-81.613253,Communities,Infrastructure,Southwest Middlesex,Replace an old motor in the pump at the reservoir with a high efficient one to reduce energy consumption and to ensure resiliency in the pumping station/reservoir,Reduced energy consumption.,Middlesex,Southwest,,,Yes,Yes,Yes,,
1231,Glencoe Main Street Watermain Reconstruction,Planning,2022-01-01,,0,42.74973,-81.7055,Communities,Infrastructure,Southwest Middlesex,"The Project will replace the watermain along Main Street from Parkhouse Drive to Graham Street and Symes Street north to the town limits in Glencoe. The work will involve replacing approximately 1.5 kilometres of watermain with a new and larger pipe, as well as replacing existing water services to residential and commercial properties which includes approximately 1 kilometre of water service pipes, reattaching the side street interconnections, installing 12 new fire hydrants and main line water valves. The affected roadway, curbs, sidewalks and driveways will also be replaced.",,Middlesex,Southwest,153 McKellar Street/Rue,N0L1M0,Yes,Yes,Yes,,https://www.news.ontario.ca/en/release/1000459/canada-and-ontario-invest-over-29-million-in-19-green-infrastructure-projects
1232,Installation of  Sanitary Sewer Trunk Line,Complete,2018-06-01,,386984,42.794286,-81.240731,Communities,Infrastructure,Southwold,Install 250 meters sewer trunk line from existing sewer line at Talbot Grove Road to CN Tracks.,Improved  sewer service to 15 existing households and future extension to 164 existing households and 300 future growth households.,Elgin,Southwest,,,Yes,Yes,Yes,,
1233,Pump Stations 51 and 52 Retrofit and Replacement,Complete,2018-09-01,,1105113,42.676891,-81.241456,Communities,Infrastructure,Southwold,Relocation of Pump Station 52 to the south side of Bridge Street and the replacement of Pump Station 51.,Minimized risk of contamination,Elgin,Southwest,,N5L 1J1,Yes,Yes,,,
1234,Interior Lining Replacement,Complete,2017-07-01,,122196,46.197611,-82.331637,Communities,Infrastructure,Spanish,Reline the elevated water tank.,Better water services to 400 households in the Town of Spanish.,Algoma,Northeast,29 Lewis Street,P0P 2A0,Yes,Yes,Yes,,
1235,Upgrade to Hillsdale Water Standpipe,Complete,2018-12-01,,180000,44.5769,-79.7665,Communities,Infrastructure,Springwater,"Replace the existing roof for robotic cleaning access, install cathodic protection , and install a circulation and heating system.",Enhanced public safety by maintaining clean water and fire flows.,Simcoe,Central,,,Yes,Yes,Yes,,
1236,Replace Aeration Blowers,Complete,2018-12-01,,101625,44.584792,-79.898788,Communities,Infrastructure,Springwater,Replace 2 blower motors with one high efficiency  motor with anticipated energy savings of 45%.,Increased energy savings.,Simcoe,Central,1128 Flos Road Ten East,LOL 1P0,Yes,Yes,Yes,,
1237,Upgrade Aerobic Digester,Complete,2018-12-01,,30000,44.584792,-79.898788,Communities,Infrastructure,Springwater,Install a control valve and mass flow meter on the line with anticipated energy savings of 25%.,,Simcoe,Central,1128 Flos Road Ten East,LOL 1P0,Yes,Yes,Yes,,
1238,Elmvale Waste Water Treatment Plant Clarifier Covers Design,Complete,2017-12-01,,29568,44.584792,-79.898788,Communities,Infrastructure,Springwater,Design roof structures for 2 existing clarifiers at the Elmvale Wastewater Treatment plan that are currently subject to winter freeze up temperatures.,,Simcoe,Central,1128 Flos Road Ten East,LOL 1P0,Yes,Yes,Yes,,
1239,Watermain replacement,Complete,2018-06-01,,675000,43.155124,-79.2272,Communities,Infrastructure,St. Catharines,Replace a watermain from Westchester Crescent to Lincoln Avenue in conjunction with road and sidewalk improvements from Weschester Crescent to Disher Street.,Increased reliability of water supply.,Niagara,Central,Oakdale Avenue / Capner St,,Yes,Yes,Yes,,
1240,Sanitary sewer replacement,Complete,2019-07-01,,847500,43.145244,-79.253055,Communities,Infrastructure,St. Catharines,Replace the sanitary sewer pipes on Leeper Street from St. Paul Street West to Rykert Street.,,Niagara,Central,Leeper Street,,Yes,Yes,Yes,,
1241,Storm sewer installation,Complete,2018-06-01,,112500,43.145244,-79.253055,Communities,Infrastructure,St. Catharines,Extension of a storm sewer on Leeper Street from Chetwood Street to Rykert Street.,Reduced risk of basement flooding.,Niagara,Central,Leeper Street,,Yes,Yes,Yes,,
1242,Watermain replacement,Complete,2018-06-01,,75000,43.145244,-79.253055,Communities,Infrastructure,St. Catharines,Replace a cast iron watermain on Leeper Street from Shickluna Street to Hamilton Street.,Better water services to 25 properties.,Niagara,Central,Leeper Street,,Yes,Yes,Yes,,
1243,New storm sewer,Complete,2018-06-01,,423750,43.15023,-79.251548,Communities,Infrastructure,St. Catharines,Install storm sewer pipes on McDonald Street from Ridley Road to St. Paul Street West.,Better water services for 37 properties and future service for 12 properties.,Niagara,Central,McDonald Street,,Yes,Yes,Yes,,
1244,Watermain replacement,Complete,2018-06-01,,375000,43.15023,-79.251548,Communities,Infrastructure,St. Catharines,Install  watermain pipes on McDonald Street from Ridley Road to Permilla Street.,Better water services to 29 properties.,Niagara,Central,McDonald Street,,Yes,Yes,Yes,,
1245,Sanitary sewer replacement,Complete,2018-06-01,,202500,43.177707,-79.223463,Communities,Infrastructure,St. Catharines,Replace the existing sanitary sewer pipe on Brighton Street from Garnet Street to Facer Street.,Better water services to 38 properties.,Niagara,Central,Brighton Street,,Yes,Yes,Yes,,
1246,New storm sewer,Complete,2018-12-01,,150000,43.177707,-79.223463,Communities,Infrastructure,St. Catharines,Install a new storm sewer pipe on Brighton Street from Garnet Street to Facer Street.,Better water services to 38 properties.,Niagara,Central,Brighton Street,,Yes,Yes,Yes,,
1247,Watermain replacement,Complete,2018-06-01,,232500,43.177707,-79.223463,Communities,Infrastructure,St. Catharines,Replace the existing watermain on Brighton Street from Garnet Street to Facer Street.,Better water services to 38 properties.,Niagara,Central,Brighton Street,,Yes,Yes,Yes,,
1248,Sanitary sewer replacement,Complete,2018-06-01,,232500,43.176789,-79.226999,Communities,Infrastructure,St. Catharines,Replace the existing sanitary sewer pipe on Lailey Street from Currie Street to Concord Street.,Better water services to 20 properties.,Niagara,Central,Lailey Street,,Yes,Yes,Yes,,
1249,Watermain replacement,Complete,2018-12-01,,232500,43.176789,-79.226999,Communities,Infrastructure,St. Catharines,Replace the existing watermain pipe on Lailey Street from Currie Street to Concord Street.,Better water services to 20 properties.,Niagara,Central,Lailey Street,,Yes,Yes,Yes,,
1250,Watermain replacement,Complete,2018-06-01,,161082,43.165381,-79.211799,Communities,Infrastructure,St. Catharines,Replace the existing watermain pipe on Barnes Street from Franklin Boulevard to McPhail Crescent.,Better water services to 19 properties.,Niagara,Central,Barnes Road,,Yes,Yes,Yes,,
1251,St.-Charles lagoon waste water flowmeter project.,Complete,2017-11-01,,16875,46.357444,-80.41,Communities,Infrastructure,St. Charles,Install an electromagnetic flowmeter in the municipal waste water lagoon.,More accurate measure of the inflow of effluent and more effective management of the release of treated effluent into the environment.,Sudbury,Northeast,,,Yes,Yes,Yes,,
1252,Forced wastewater main replacement,Complete,2017-12-01,,135000,42.644105,-82.50314,Communities,Infrastructure,St. Clair,Replace the Brander Park wastewater main.,Better water services to the south end of Port Lambton.,Lambton,Southwest,,,Yes,Yes,Yes,,
1253,Pumping Station Rehabilitation,Complete,2019-02-01,,150000,42.70805,-82.479891,Communities,Infrastructure,St. Clair,Rehabilitation of the Sombra main pumping station.,,Lambton,Southwest,3538 St. Clair Parkway,,Yes,Yes,Yes,,
1254,Pumping Station Rehabilitation,Complete,2019-02-01,,150000,42.656217,-82.504806,Communities,Infrastructure,St. Clair,Rehabilitate the Port Lambton main pumping station.,Better water service for the Village of Port Lambton and properties on St. Clair Parkway north and south of Port Lambton.,Lambton,Southwest,4406 McDonald Street,,Yes,Yes,Yes,,
1255,Pump Station Rehabilitation,Complete,2019-02-01,,93750,42.886033,-82.420163,Communities,Infrastructure,St. Clair,Rehabilitate the Polymoore Drive pump station in the St. Clair Industrial Park.,Better water services to the Industrial Park and the Nova Chemicals industrial sites.,Lambton,Southwest,426 Polymoore Drive,,Yes,Yes,Yes,,
1256,Sanitary Sewer  Repairs,Complete,2018-04-01,,150000,42.842673,-82.462776,Communities,Infrastructure,St. Clair,Repairs to the sanitary sewers.,,Lambton,Southwest,1156 Emily Street,,Yes,Yes,Yes,,
1257,Wastewater Lagoon Optimization,Complete,2018-12-01,,675000,42.710388,-82.434337,Communities,Infrastructure,St. Clair,Optimizing the wastewater lagoon including improvements to the chemical dosing equipment.,Better ability to meet existing and future federal and provincial requirements.,Lambton,Southwest,161 West Smith Line,,Yes,Yes,Yes,,
1258,Wastewater Lagoons Optimization,Complete,2018-12-01,,1125000,43.160999,-81.683873,Communities,Infrastructure,St. Clair,Optimizing the wastewater lagoon including improvements to the chemical dosing equipment.,Better ability to meet existing and future federal and provincial requirements.,Lambton,Southwest,371 Broadway Street,,Yes,Yes,Yes,,
1259,Storm Sewer Outfall Replacement,Complete,2017-11-01,,187500,42.888504,-82.454104,Communities,Infrastructure,St. Clair,Replace a deteriorating steel pipe at the Ferry Dock in the Hamlet of Corunna.,This pipe services a large portion of Corunna.,Lambton,Southwest,173 Hill Street,,Yes,Yes,Yes,,
1260,Rehabilitation of Drinking Water Supply and Treatment System Components,Complete,2018-05-01,,75000,46.28009,-84.020203,Communities,Infrastructure,St. Joseph,Rehabilitation of the drinking water supply and treatment system in the Community of Richards Landing in the Township of St. Joseph.,Improved reliability of the equipment  that serves approximately 300 residential users in addition to commercial and institutional users.,Algoma,Northeast,1303 Richards Street,P0R 1J0,Yes,Yes,Yes,,
1261,Sanitary Pumping and Treatment System Rehabilitation,Complete,2019-12-01,,474075,46.291804,-84.024173,Communities,Infrastructure,St. Joseph,Rehabilitation of the sewage pumping and treatment works in the Township of St. Joseph.,Minimized risk of contamination,Algoma,Northeast,Marguerite Street,P0R 1J0,Yes,Yes,,,
1262,Wastewater Treatment PlanStandby Power Unit Replacement,Complete,2018-11-01,,230250,43.251093,-81.149872,Communities,Infrastructure,St. Marys,Upgrade the existing unit with an anticipated 520 Kw diesel generator.,Maintain minimum treatment processes at the facility.,Perth,Southwest,309 Thomas Street,,Yes,Yes,Yes,,
1263,Future Capital Works at Wastewater Treatment Plant,Complete,2020-02-01,,172500,43.251093,-81.149872,Communities,Infrastructure,St. Marys,"Design a new or modified grit removal system, associated odour control and a new or renovated administration, control and laboratory building.",Enhanced ability to address projected growth.,Perth,Southwest,309 Thomas Street,,Yes,Yes,Yes,,
1264,Standby Power Unit at Queen Street East Sanitary Pumping Station,Complete,2018-07-01,,52500,43.26162,-81.120858,Communities,Infrastructure,St. Marys,Replace the current standby generator with a more efficient one.,"Continued operations during power failures, minimizing the risk of overflows to Birches Creek.",Perth,Southwest,728 Queen Street East,,Yes,Yes,Yes,,
1265,Sewer Rehabilitation at Multiple Locations,Complete,2019-07-01,,682231,42.776268,-81.193867,Communities,Infrastructure,St. Thomas,Rehabilitate 900m of sewer main and 90 private drain connections at various locations.,Improved sewer services for  90 households and a larger collection area.,Elgin,Southwest,55 Mitchell Street,N5R 2T8,Yes,Yes,Yes,,
1266,Water Rehabilitation at Multiple Locations,Complete,2020-09-01,,727000,42.7875,-81.1782,Communities,Infrastructure,St. Thomas,"Rehabilitate 1,200 m of watermain at various locations.",The watermain directly services 90 households.,Elgin,Southwest,157 Woodward Avenue,N5P 3K4,Yes,Yes,Yes,,
1267,Queen Street Reconstruction - Sanitary and Storm Sewer,Complete,2017-12-01,,550000,42.776533,-81.201995,Communities,Infrastructure,St. Thomas,Replace 270 m of existing sanitary sewer and storm sewer.,The sewer serves 25 households.,Elgin,Southwest,44 Queen Street,N5R 3J3,Yes,Yes,Yes,,
1268,"Churchill Crescent Reconstruction - Sanitary Sewer, Storm Sewer, and Watermain",Complete,2017-12-01,,900000,42.766355,-81.182709,Communities,Infrastructure,St. Thomas,"Replace 380 m of existing watermain, 180 m of sanitary sewer, and 240 m of storm sewer.",Improved water services to 20 households and a larger collection area.,Elgin,Southwest,39 Churchil Crescent,N5R 4G7,Yes,Yes,Yes,,
1269,"Stanley Street Reconstruction - Sanitary Sewer, Storm Sewer, and Watermain",Complete,2018-05-01,,1428000,42.773062,-81.202737,Communities,Infrastructure,St. Thomas,"Replace 610 m of existing watermain, 200 m of sanitary sewer, and 710 m of storm sewer.",Improved water services to 20 households and a larger collection area.,Elgin,Southwest,109 Stanley Street,N5R 3G3,Yes,Yes,Yes,,
1270,Upgrades to Sanitary Sewer Pumping Stations,Complete,2018-08-01,,650000,42.785819,-81.201465,Communities,Infrastructure,St. Thomas,"Install standby generators, replace service feeds, and replace pumps at multiple locations.",The pumping stations serve over 500 households.,Elgin,Southwest,87 St. George Street,N5P 2L4,Yes,Yes,Yes,,
1271,Wastewater Treatment Plant – Optimizations to Reduce Overflows and Improve Environmental Impact,Planning,2024-01-01,,0,42.779094,-81.193055,Communities,Infrastructure,St. Thomas,"This project is for the optimization and performance upgrades of the Wastewater Treatment Plant to remove bottle necks and increase flows during wet weather events in the City of St. Thomas. This project will conduct optimization and performance reviews of the sewage treatment plant; upsize the plant’s 3 influent flow meters, pipes, and plug valve; adjust the inter-plant flow distribution between 3 treatment plants to optimize flow; expand the effluent pumping station; replace associated infrastructure including the utility water system; expand the duplicate UV channel; replace and upsize the primary and secondary outfall pipes as well as the structure and backflow valve; and increase the berm height around the treatment plant as it is currently below the seasonal elevation.",,Elgin,Southwest,545 Talbot Street,N5P3V7,Yes,Yes,Yes,,https://www.news.ontario.ca/en/release/1000459/canada-and-ontario-invest-over-29-million-in-19-green-infrastructure-projects
1272,Drinking Water Feasibility Study,Complete,2018-03-01,,56250,44.293274,-77.556702,Communities,Infrastructure,Stirling-Rawdon,Complete a feasibility study to identify an alternate drinking water source to increase the capacity or the lifespan of the asset.,,Hastings,East,93 Elizabeth Street,K0K 3E0,Yes,Yes,Yes,,
1273,Infrastructure on Baker Street.,Complete,2018-12-01,,18750,44.293274,-77.556702,Communities,Infrastructure,Stirling-Rawdon,"Preliminary design for upgrade the stormwater, water and wastewater infrastructure on Baker Street.","Increased capacity or lifespan of the asset, enhanced  service and improved environmental outcomes.",Hastings,East,Baker Street,K0K 3E0,Yes,Yes,Yes,,
1274,Cured-in-Place Storm Sewer Rehabilitation,Complete,2017-10-01,,75000,45.178139,-75.11125,Communities,Infrastructure,"Stormont, Dundas and Glengarry",Reline the  existing storm sewer on County Road 12 in Berwick.,,"Stormont, Dundas and Glengarry",East,,,Yes,Yes,Yes,,
1275,Screw pump upgrades for the Raw Sewage Lift Station at Stratford Water Pollution Control Plant,Complete,2018-01-01,,97500,43.3697,-81.003791,Communities,Infrastructure,Stratford,Upgrade the pumps at the raw sewage lift station at the Stratford water pollution control plant.,Improved efficiency and increased energy savings.,Perth,Southwest,701 West Gore Street,N5A 1L4,Yes,Yes,Yes,,
1276,Relining of Concrete Sanitary Sewer,Complete,2018-08-01,,1800000,43.370153,-80.982211,Communities,Infrastructure,Stratford,Rehabilitate 6000 m. of sanitary sewers by relining the sewers. The life of the assets will be extended by a minimum 50 years.,Reduced overflow events to the Avon River and reduced phosphorous loading in the Lake Erie Drainable Basin.,Perth,Southwest,1 Wellington Street,N5A 6W1,Yes,Yes,Yes,,
1277,Watermain replacement,Complete,2018-05-01,,360250,42.962047,-81.627839,Communities,Infrastructure,Strathroy-Caradoc,"Replace 600 meters of trunk watermain and 300 meters of sanitary sewer, and install new storm water culvert at Hull Road.",Reduced street flooding on Hull Road.,Middlesex,Southwest,,,Yes,Yes,Yes,Yes,
1278,Sewer replacement,Complete,2019-06-01,,700000,42.950478,-81.624375,Communities,Infrastructure,Strathroy-Caradoc,Upgrade existing storm water pipe and replace sanitary sewer and water mains on McKellar St.,Reduced surface flooding.,Middlesex,Southwest,,,Yes,Yes,Yes,Yes,
1279,Sewer replacement,Complete,2018-09-01,,270159,42.953411,-81.613847,Communities,Infrastructure,Strathroy-Caradoc,"Install storm sewer, and replace watermain, and sanitary sewer on Ellor Street.",Reduced surface flooding  and sewer back-up.,Middlesex,Southwest,,,Yes,Yes,Yes,Yes,
1280,Watermain installation,Complete,2017-08-01,,75000,42.903128,-81.473789,Communities,Infrastructure,Strathroy-Caradoc,Install new watermain loop from Parkhouse Drive to south of Mill Road.,Improved water pressure and fire flows.,Middlesex,Southwest,,,Yes,Yes,Yes,,
1281,Replace Pump at Well Building,Complete,2019-05-01,,6375,47.68214,-81.712571,Communities,Infrastructure,Sudbury,Replace the pump at the well building.,,Sudbury,Northeast,1 Minisinakwa Road,P0M 1W,Yes,Yes,Yes,,
1282,Concrete Water Holding Tanks at the Water Distribution/Generator Building,Complete,2018-12-01,,27000,47.676417,-81.716797,Communities,Infrastructure,Sudbury,"Consultations to determine possible presence of asbestos, and to determine condition of concrete water holding tanks.",,Sudbury,Northeast,25 Barnes Street,P0M 1W,Yes,Yes,Yes,,
